filename,mz,min_fdr,databases,label
2017-03-17_17h20m49s.imzML,175.118952123,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,195.091674755,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,328.998476177,0.05,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,136.940168719,0.05,ChEBI 2016,localized
2017-03-17_17h20m49s.imzML,328.998478239,0.05,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,367.154000239,0.05,HMDB v4,weak_structured
2017-03-17_17h20m49s.imzML,147.112804123,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,310.995245869,0.05,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,308.076478191,0.05,ChEBI 2016,localized
2017-03-17_17h20m49s.imzML,159.080441375,0.05,"ChEBI 2016,HMDB v4",fragmented
2017-03-17_17h20m49s.imzML,159.091674755,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,273.039364411,0.05,ChEBI 2016,weak_structured
2017-03-17_17h20m49s.imzML,154.026060075,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,146.165174043,0.05,HMDB v4,structured
2017-03-17_17h20m49s.imzML,213.138624947,0.05,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,245.044449791,0.05,"ChEBI 2016,HMDB v4",unstructured
2017-03-17_17h20m49s.imzML,173.070939311,0.05,"ChEBI 2016,HMDB v4",unstructured
2017-03-17_17h20m49s.imzML,308.076552707,0.05,ChEBI 2016,localized
2017-03-17_17h20m49s.imzML,158.106596163,0.05,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,156.076752963,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,154.026334463,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,203.223023267,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,154.026371171,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,445.219985207,0.1,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,207.078187645,0.05,"ChEBI 2016,HMDB v4",localized
2017-03-17_17h20m49s.imzML,297.126740105,0.05,"ChEBI 2016,HMDB v4",unstructured
2017-03-17_17h20m49s.imzML,180.080775723,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,290.065913507,0.05,ChEBI 2016,fragmented
2017-03-17_17h20m49s.imzML,367.154426585,0.05,HMDB v4,fragmented
2017-03-17_17h20m49s.imzML,160.108053091,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,367.153083901,0.1,HMDB v4,weak_structured
2017-03-17_17h20m49s.imzML,147.076418615,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,191.031631377,0.1,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,369.169650303,0.05,"ChEBI 2016,HMDB v4",unstructured
2017-03-17_17h20m49s.imzML,310.095082719,0.1,"ChEBI 2016,HMDB v4",fragmented
2017-03-17_17h20m49s.imzML,146.117555155,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,448.135055687,0.05,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,201.088600371,0.1,"ChEBI 2016,HMDB v4",localized
2017-03-17_17h20m49s.imzML,191.031440315,0.05,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,349.181945919,0.1,ChEBI 2016,fragmented
2017-03-17_17h20m49s.imzML,201.088752329,0.1,"ChEBI 2016,HMDB v4",localized
2017-03-17_17h20m49s.imzML,283.128848111,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,171.091674755,0.05,HMDB v4,unstructured
2017-03-17_17h20m49s.imzML,283.129122499,0.1,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,314.151686933,0.1,"ChEBI 2016,HMDB v4",fragmented
2017-03-17_17h20m49s.imzML,191.031479419,0.1,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,176.008004323,1.0,,localized
2017-03-17_17h20m49s.imzML,166.086255027,0.05,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,175.086589375,0.05,"ChEBI 2016,HMDB v4",fragmented
2017-03-17_17h20m49s.imzML,156.042136485,0.1,"ChEBI 2016,HMDB v4",structured
2017-03-17_17h20m49s.imzML,137.096091439,0.05,"ChEBI 2016,HMDB v4",unstructured
2017-03-17_17h20m49s.imzML,195.122700111,0.05,"ChEBI 2016,HMDB v4",unstructured
2017-03-17_17h20m49s.imzML,193.062385623,0.05,"ChEBI 2016,HMDB v4",localized
2017-03-17_17h20m49s.imzML,245.045415401,0.1,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,155.033885107,0.05,"ChEBI 2016,HMDB v4",unstructured
2017-03-17_17h20m49s.imzML,369.170076649,0.1,ChEBI 2016,unstructured
2017-03-17_17h20m49s.imzML,233.130223217,0.1,"ChEBI 2016,HMDB v4",localized
2017-03-17_17h20m49s.imzML,268.104030331,0.05,"ChEBI 2016,HMDB v4",negative
2017-03-17_17h20m49s.imzML,191.031790515,0.1,ChEBI 2016,structured
2017-03-17_17h20m49s.imzML,150.976796193,0.1,ChEBI 2016,localized
