filename,mz,min_fdr,databases,label
2025-06-23_09h11m11s.imzML,369.351577843,0.05,LipidMaps 2017-12-12,structured
2025-06-23_09h11m11s.imzML,551.503387027,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,866.648076199,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,866.648039491,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,713.451662167,0.05,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,776.558867271,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,828.692309991,1.0,,structured
2025-06-23_09h11m11s.imzML,792.553781891,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,605.550337219,0.05,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,798.540811519,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,800.661009863,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,792.551376203,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,866.648191449,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,579.534687155,0.05,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,814.676659927,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,831.514693055,0.05,"SwissLipids 2018-02-02,HMDB v4",structured
2025-06-23_09h11m11s.imzML,651.534687155,0.05,"SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-06-23_09h11m11s.imzML,734.569431955,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,830.509663349,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,912.574911259,0.05,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,838.616776071,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,627.534687155,0.05,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,764.522481763,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,752.558867271,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,672.532652523,0.05,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,768.553781891,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,730.574517335,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,720.553781891,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,746.569431955,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,777.564012227,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,577.519037091,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,810.681745307,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,782.650445179,0.05,"SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",localized
2025-06-23_09h11m11s.imzML,425.377792591,0.05,"HMDB v4,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,928.566183245,0.1,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,836.543611131,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,784.666095243,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,760.585082019,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,371.330842399,1.0,,structured
2025-06-23_09h11m11s.imzML,419.255702403,0.05,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,756.590167399,1.0,,localized
2025-06-23_09h11m11s.imzML,426.057427559,0.05,ChEBI 2018-01,structured
2025-06-23_09h11m11s.imzML,925.520172359,0.1,"LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,812.697395371,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,788.616382147,0.1,"HMDB v4,LipidMaps 2017-12-12,ChEBI 2018-01,SwissLipids 2018-02-02",structured
2025-06-23_09h11m11s.imzML,728.558867271,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,648.628921887,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,702.543217207,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,782.569431955,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,549.487736963,0.1,"SwissLipids 2018-02-02,HMDB v4",structured
2025-06-23_09h11m11s.imzML,623.503387027,0.1,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,526.292816183,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,341.305021575,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,808.666095243,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,856.723610119,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,887.564406151,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,744.553781891,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,842.707960055,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,772.527567143,0.1,"SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-06-23_09h11m11s.imzML,867.647347927,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,756.553781891,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,675.495932667,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,758.605817463,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",localized
2025-06-23_09h11m11s.imzML,848.637511515,1.0,,structured
2025-06-23_09h11m11s.imzML,864.632426135,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,867.649716907,1.0,,structured
2025-06-23_09h11m11s.imzML,343.044843715,0.1,HMDB v4,structured
2025-06-23_09h11m11s.imzML,365.065579159,1.0,,structured
2025-06-23_09h11m11s.imzML,796.585082019,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,796.666095243,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,806.569431955,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,599.503387027,0.1,SwissLipids 2018-02-02,structured
2025-06-23_09h11m11s.imzML,421.271352467,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,407.367227907,0.1,"LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,834.600732083,1.0,,structured
2025-06-23_09h11m11s.imzML,866.590561323,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,575.503387027,0.1,"SwissLipids 2018-02-02,LipidMaps 2017-12-12,HMDB v4",structured
2025-06-23_09h11m11s.imzML,723.495932667,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,697.480282603,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,780.590167399,1.0,,structured
2025-06-23_09h11m11s.imzML,884.543611131,0.1,"SwissLipids 2018-02-02,LipidMaps 2017-12-12,HMDB v4",structured
2025-06-23_09h11m11s.imzML,913.580056215,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,649.519037091,0.1,"SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-06-23_09h11m11s.imzML,963.704862803,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,790.559261195,0.1,"HMDB v4,LipidMaps 2017-12-12,ChEBI 2018-01,SwissLipids 2018-02-02",localized
2025-06-23_09h11m11s.imzML,802.676659927,0.1,"SwissLipids 2018-02-02,ChEBI 2018-01",unstructured
2025-06-23_09h11m11s.imzML,311.236942015,0.1,"HMDB v4,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,313.273721447,0.1,"LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,864.574911259,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,666.639486571,1.0,,weak_structured
2025-06-23_09h11m11s.imzML,739.466075285,0.1,"HMDB v4,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,603.534687155,0.1,"SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
2025-06-23_09h11m11s.imzML,718.538131827,0.1,"HMDB v4,SwissLipids 2018-02-02,LipidMaps 2017-12-12,ChEBI 2018-01",structured
