filename,mz,min_fdr,databases,label
2017-03-10_19h59m17s.imzML,788.544708325,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,311.168639491,0.05,HMDB v4,structured
2017-03-10_19h59m17s.imzML,325.184289555,0.05,HMDB v4,structured
2017-03-10_19h59m17s.imzML,303.232953829,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,281.248603893,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,283.264253957,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,572.481496301,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,279.232953829,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,255.232953829,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,885.549853281,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,838.560358389,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,331.264253957,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,750.544314401,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,863.565503345,0.05,LIPID_MAPS 2016,weak_structured
2017-03-10_19h59m17s.imzML,744.554879085,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,722.513014273,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,913.581153409,0.05,"LIPID_MAPS 2016,HMDB v4",weak_structured
2017-03-10_19h59m17s.imzML,309.279904021,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,682.591046749,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,215.032789401,1.0,,structured
2017-03-10_19h59m17s.imzML,766.539229021,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,861.549853281,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,786.529058261,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,307.264253957,0.05,"LIPID_MAPS 2016,HMDB v4",weak_structured
2017-03-10_19h59m17s.imzML,810.529058261,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,179.056111669,0.05,HMDB v4,unstructured
2017-03-10_19h59m17s.imzML,725.608949289,1.0,,weak_structured
2017-03-10_19h59m17s.imzML,748.528664337,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,391.262061057,0.1,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,883.534203217,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,574.497146365,0.1,"LIPID_MAPS 2016,HMDB v4",weak_structured
2017-03-10_19h59m17s.imzML,389.246410993,0.1,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,742.539229021,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,857.518553153,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,773.533809293,0.05,"LIPID_MAPS 2016,HMDB v4",weak_structured
2017-03-10_19h59m17s.imzML,812.544708325,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,771.518159229,0.05,"LIPID_MAPS 2016,HMDB v4",weak_structured
2017-03-10_19h59m17s.imzML,305.248603893,0.05,"LIPID_MAPS 2016,HMDB v4",structured
2017-03-10_19h59m17s.imzML,199.170353573,0.05,"LIPID_MAPS 2016,HMDB v4",unstructured
