filename,mz,min_fdr,databases,label
2025-08-19_22h18m37s.imzML,798.540963477,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,798.540811519,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,881.756861667,1.0,,localized
2025-08-19_22h18m37s.imzML,760.585082019,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,504.344851755,0.05,SwissLipids 2018-02-02,structured
2025-08-19_22h18m37s.imzML,577.519037091,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,260.185634715,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",localized
2025-08-19_22h18m37s.imzML,826.572263605,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,723.493526979,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,478.329201691,0.05,"SwissLipids 2018-02-02,ChEBI 2018-01,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,603.534687155,0.05,"SwissLipids 2018-02-02,ChEBI 2018-01,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,739.467464189,0.05,"HMDB v4,ChEBI 2018-01,SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,826.572111647,0.05,"SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2025-08-19_22h18m37s.imzML,478.329164983,0.05,LipidMaps 2017-12-12,structured
2025-08-19_22h18m37s.imzML,296.065982253,0.05,"ChEBI 2018-01,HMDB v4",weak_structured
2025-08-19_22h18m37s.imzML,782.567026267,0.05,"SwissLipids 2018-02-02,ChEBI 2018-01,LipidMaps 2017-12-12,HMDB v4",structured
2025-08-19_22h18m37s.imzML,897.730683627,0.05,SwissLipids 2018-02-02,localized
2025-08-19_22h18m37s.imzML,605.550337219,0.05,SwissLipids 2018-02-02,structured
2025-08-19_22h18m37s.imzML,871.715033563,0.05,"SwissLipids 2018-02-02,HMDB v4",localized
2025-08-19_22h18m37s.imzML,469.328830635,1.0,,localized
