filename,mz,min_fdr,databases,label
2016-10-25_14h30m16s.imzML,104.106990471,0.05,"HMDB v2.5,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,203.223023267,0.05,"HMDB v2.5,ChEBI 2018-01,CoreMetabolome v3,HMDB v4,PAMDB v1.0",localized
2016-10-25_14h30m16s.imzML,369.131011065,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,344.212124235,0.05,ChEBI 2018-01,localized
2016-10-25_14h30m16s.imzML,226.143769903,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",localized
2016-10-25_14h30m16s.imzML,353.208715503,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,369.130859107,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,301.104644359,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,309.129242035,0.05,ChEBI 2018-01,negative
2016-10-25_14h30m16s.imzML,233.078429611,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,184.096819711,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",localized
2016-10-25_14h30m16s.imzML,189.052214863,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,321.130859107,0.05,"HMDB v2.5,HMDB v4",weak_structured
2016-10-25_14h30m16s.imzML,333.167396573,0.05,ChEBI 2018-01,structured
2016-10-25_14h30m16s.imzML,393.315192335,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",negative
2016-10-25_14h30m16s.imzML,321.129242035,1.0,,negative
2016-10-25_14h30m16s.imzML,152.070604963,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",localized
2016-10-25_14h30m16s.imzML,233.078581569,0.05,"ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,347.182894679,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,333.167244615,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,301.104796317,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,204.123034459,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",localized
2016-10-25_14h30m16s.imzML,319.151594551,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,250.141089827,0.05,"HMDB v2.5,HMDB v4",negative
2016-10-25_14h30m16s.imzML,166.086255027,0.05,"HMDB v2.5,ChEBI 2018-01,CoreMetabolome v3,HMDB v4,PAMDB v1.0",localized
2016-10-25_14h30m16s.imzML,317.193459363,0.05,ChEBI 2018-01,weak_structured
2016-10-25_14h30m16s.imzML,298.177749723,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,325.104796317,0.05,ChEBI 2018-01,structured
2016-10-25_14h30m16s.imzML,305.157073855,0.05,"ChEBI 2018-01,HMDB v4,CoreMetabolome v3",weak_structured
2016-10-25_14h30m16s.imzML,275.125379803,0.05,"ChEBI 2018-01,HMDB v2.5,PAMDB v1.0,HMDB v4",structured
2016-10-25_14h30m16s.imzML,373.234930251,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,257.078429611,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,289.141029867,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,325.104644359,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,316.223082843,0.05,"ChEBI 2018-01,HMDB v4,CoreMetabolome v3",negative
2016-10-25_14h30m16s.imzML,185.114815119,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,305.097941907,1.0,,negative
2016-10-25_14h30m16s.imzML,173.078429611,0.05,ChEBI 2018-01,structured
2016-10-25_14h30m16s.imzML,319.115209043,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",weak_structured
2016-10-25_14h30m16s.imzML,277.103027287,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",unstructured
2016-10-25_14h30m16s.imzML,317.114815119,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,390.297864855,0.05,"ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,203.067864927,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",negative
2016-10-25_14h30m16s.imzML,195.099165055,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",negative
2016-10-25_14h30m16s.imzML,387.250580315,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",weak_structured
2016-10-25_14h30m16s.imzML,391.209109427,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",weak_structured
2016-10-25_14h30m16s.imzML,201.088600371,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",negative
2016-10-25_14h30m16s.imzML,245.114815119,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,354.203964471,0.05,"HMDB v2.5,HMDB v4",structured
2016-10-25_14h30m16s.imzML,372.190719711,0.05,HMDB v4,fragmented
2016-10-25_14h30m16s.imzML,346.271650107,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,305.099558979,0.05,"ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,375.177809299,0.05,"HMDB v2.5,HMDB v4",structured
2016-10-25_14h30m16s.imzML,261.099833751,0.05,ChEBI 2018-01,unstructured
2016-10-25_14h30m16s.imzML,331.207750309,0.05,ChEBI 2018-01,unstructured
2016-10-25_14h30m16s.imzML,345.214863503,0.05,ChEBI 2018-01,localized
2016-10-25_14h30m16s.imzML,395.255702403,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,349.125773727,1.0,,weak_structured
2016-10-25_14h30m16s.imzML,261.073344231,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,331.209109427,0.05,"HMDB v2.5,HMDB v4",structured
2016-10-25_14h30m16s.imzML,389.229844871,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,261.159754315,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",unstructured
2016-10-25_14h30m16s.imzML,303.083908915,0.05,"HMDB v2.5,HMDB v4",structured
2016-10-25_14h30m16s.imzML,360.274449719,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",unstructured
2016-10-25_14h30m16s.imzML,146.117555155,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",localized
2016-10-25_14h30m16s.imzML,388.282214791,0.05,"ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,317.135944487,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,250.177749723,0.05,ChEBI 2018-01,structured
2016-10-25_14h30m16s.imzML,175.118952123,0.05,"HMDB v2.5,ChEBI 2018-01,CoreMetabolome v3,HMDB v4,PAMDB v1.0",localized
2016-10-25_14h30m16s.imzML,395.255665695,0.05,"HMDB v2.5,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,356.292385551,0.05,"HMDB v2.5,HMDB v4",negative
2016-10-25_14h30m16s.imzML,367.224365567,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,403.245494935,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",weak_structured
2016-10-25_14h30m16s.imzML,273.167244615,0.05,ChEBI 2018-01,structured
2016-10-25_14h30m16s.imzML,191.104250435,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",negative
2016-10-25_14h30m16s.imzML,350.230179219,0.05,"ChEBI 2018-01,HMDB v4,CoreMetabolome v3",negative
2016-10-25_14h30m16s.imzML,389.193459363,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4,CoreMetabolome v3",structured
2016-10-25_14h30m16s.imzML,331.151594551,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
2016-10-25_14h30m16s.imzML,233.077398023,1.0,,weak_structured
2016-10-25_14h30m16s.imzML,361.162159235,0.05,"HMDB v2.5,ChEBI 2018-01,HMDB v4",structured
