filename,mz,min_fdr,databases,label
2023-05-01_09h19m53s.imzML,885.549853281,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,863.565503345,0.05,"SwissLipids 2018-02-02,LipidMaps 2017-12-12",structured
2023-05-01_09h19m53s.imzML,465.304404687,0.05,"HMDB v4,LipidMaps 2017-12-12,DrugBank 5.1",structured
2023-05-01_09h19m53s.imzML,309.088080493,0.05,DrugBank 5.1,fragmented
2023-05-01_09h19m53s.imzML,742.539229021,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,861.549853281,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,766.539229021,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,699.497029861,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,857.518553153,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,835.534203217,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,722.513014273,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,394.086700759,0.05,DrugBank 5.1,structured
2023-05-01_09h19m53s.imzML,697.481379797,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,723.497029861,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,750.544314401,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,770.570529149,1.0,,structured
2023-05-01_09h19m53s.imzML,279.232953829,0.05,"HMDB v4,LipidMaps 2017-12-12,DrugBank 5.1,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,906.634572151,0.05,"LipidMaps 2017-12-12,DrugBank 5.1",unstructured
2023-05-01_09h19m53s.imzML,725.512679925,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
2023-05-01_09h19m53s.imzML,890.639657531,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",unstructured
2023-05-01_09h19m53s.imzML,810.529058261,0.05,"HMDB v4,LipidMaps 2017-12-12,SwissLipids 2018-02-02",structured
